company_id,range_from,range_to,payment_method_id,bin_length,facility_payments_allowed,bin_id,create_timestamp,update_timestamp,config_version,enabled,priority
1,5010900000000000,5011099999999999,2,6,S,4742,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,3528000000000000,3589999999999999,2,4,S,4743,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,3337000000000000,3349999999999999,2,4,S,4744,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,3112000000000000,3120999999999999,2,4,S,4745,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,3158000000000000,3159999999999999,2,4,S,4746,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5100000000000000,5102109999999999,2,6,S,4747,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5118500000000000,5175619999999999,2,6,S,4748,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5175630000000000,5186639999999999,2,6,S,4749,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5254240000000000,5276009999999999,2,6,S,4750,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5287460000000000,5288239999999999,2,6,S,4751,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,8500000000000000,8502009999999999,2,6,S,4752,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,8502020000000000,8510999999999999,2,6,S,4753,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,8512000000000000,8512999999999999,2,4,S,4754,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,8514000000000000,8599999999999999,2,4,S,4755,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,1003830000000000,1003839999999999,2,6,S,4756,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,2012820000000000,2012829999999999,2,6,S,4757,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5427030000000000,5447639999999999,2,6,S,4758,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5447650000000000,5465529999999999,2,6,S,4759,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5465540000000000,5481659999999999,2,6,S,4760,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5288240000000000,5288249999999999,66,6,S,5370,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5288250000000000,5305609999999999,2,6,S,5371,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4050710000000000,4050719999999999,7,6,S,7323,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
